Settimana,Premio,Traguardo,(Offerto da)
1,No,Nessuno,No
2,No,Nessuno,No
3,n. 2 biglietti d'ingresso al MART di Rovereto (per ogni vincitore),primo e secondo posto classifica settimanale green leaves,MART
4,n. 1 abbonamenti annuali bike sharing (per ogni vincitore),primo e secondo posto classifica settimanale green leaves,PAT
5,n. 2 biglietti per il concerto 'Bastien und Bastienne KV50' in calendario al Teatro Zandonai il 15.09.2015 ,primo posto classifica settimanale green leaves,ASSOCIAZIONE MOZART ITALIA
6,n. 2 ingressi in area wellness,primo posto classifica settimanale green leaves,2001 TEAM
7,n. 1 abbonamento annuale al car-sharing,primo posto classifica settimanale green leaves,COOPERATIVA CAR SHARING TRENTINO
8,n. 1 abbonamento da 10 ingressi piscina,primo posto classifica settimanale green leaves,2001 TEAM
9,n. 2 biglietti per uno spettacolo (in calendario dopo il 19.06.2016),primo posto classifica settimanale green leaves,ORIENTE OCCIDENTE
